House,Original_Economy_7,Optimized_Economy_7,Savings_Economy_7,Savings_Rate_Economy_7,Original_Economy_10,Optimized_Economy_10,Savings_Economy_10,Savings_Rate_Economy_10,Max_Savings,Max_Savings_Rate,Best_Tariff
house1,461.9754960966352,437.63214475835196,24.34335133828324,5.269403148861199,443.2457470863858,422.7482323438112,20.497514742574594,4.624413178764185,24.34335133828324,5.269403148861199,Economy_7
house2,451.2530231823857,380.58293499683464,70.67008818555104,15.660856449705795,400.5680153203907,321.4880710734875,79.07994424690321,19.741951734127305,79.07994424690321,19.741951734127305,Economy_10
house3,939.1506020059003,796.5298465728632,142.62075543303706,15.186143215839737,829.5133048859731,680.8465236467468,148.66678123922622,17.922169585894988,148.66678123922622,17.922169585894988,Economy_10
house4,611.8494360429981,588.8453509217355,23.00408512126262,3.7597624131251126,567.9921134622567,542.7789306457283,25.213182816528388,4.439002271147522,25.213182816528388,4.439002271147522,Economy_10
house5,1032.5575371225573,977.1016354205676,55.45590170198966,5.370732352264786,937.2231018648484,857.2041485694696,80.01895329537888,8.537876748466871,80.01895329537888,8.537876748466871,Economy_10
house6,617.5796796311597,595.2655881061598,22.314091524999867,3.613151834646928,527.7150969615351,506.70084880835503,21.014248153180063,3.9821199496045083,22.314091524999867,3.613151834646928,Economy_7
house7,758.946346539719,619.0594502608482,139.88689627887084,18.431724049619618,678.0295694962505,498.1579217061783,179.8716477900722,26.528584575405734,179.8716477900722,26.528584575405734,Economy_10
house8,398.81750662953687,393.48296328105204,5.334543348484829,1.337590065583582,392.7179947911415,365.2550878483864,27.462906942755126,6.993035029464507,27.462906942755126,6.993035029464507,Economy_10
house9,678.667832913108,566.9593681661971,111.70846474691086,16.459961608525692,624.4420760335199,505.112186995561,119.32988903795894,19.10984118750405,119.32988903795894,19.10984118750405,Economy_10
house10,1075.2236072509122,995.7224465100393,79.50116074087293,7.3939188281159725,972.4199414062304,889.4394434645563,82.980497941674,8.533401507755459,82.980497941674,8.533401507755459,Economy_10
house11,149.10670001513,144.1871440322679,4.919555982862107,3.299352733554505,137.4433210303706,133.43209584648045,4.011225183890161,2.918457698649328,4.919555982862107,3.299352733554505,Economy_7
house13,623.9424490526717,567.446404686181,56.49604436649065,9.054688369459118,570.144460331714,499.0422334465607,71.10222688515324,12.470914273864114,71.10222688515324,12.470914273864114,Economy_10
house15,276.1420550177051,243.32051065507795,32.82154436262715,11.885746399809607,240.02309554775695,212.06805589414992,27.95503965360703,11.646812399369654,32.82154436262715,11.885746399809607,Economy_7
house16,594.6397094096515,534.9456745870377,59.69403482261373,10.038689626341469,537.7404195256436,483.1018127627823,54.638606762861286,10.160777352585768,59.69403482261373,10.038689626341469,Economy_7
house17,462.320203540095,443.46946274138696,18.850740798708046,4.077420942101052,416.98270919012253,400.87871281155657,16.103996378565967,3.8620297733312916,18.850740798708046,4.077420942101052,Economy_7
house18,630.8417298303914,592.5286279084349,38.313101921956445,6.073330299861002,564.9885362605579,536.7198849183135,28.268651342244425,5.00340264058166,38.313101921956445,6.073330299861002,Economy_7
house19,234.88083834462248,229.6795742731224,5.201264071500077,2.2144267315108372,219.60032833650322,215.92514565201202,3.6751826844912046,1.6735779551565884,5.201264071500077,2.2144267315108372,Economy_7
house20,473.8928206970657,424.5393828888375,49.35343780822819,10.414472566947202,433.2071615406116,387.02684772923044,46.180313811381154,10.660099349962367,49.35343780822819,10.414472566947202,Economy_7
house21,427.03577914106086,389.85733401583286,37.178445125227995,8.706166307658966,388.42487523627744,348.5283315116131,39.896543724664355,10.271366812023928,39.896543724664355,10.271366812023928,Economy_10
