House_ID,Tariff_Type,Total_Events,Reschedulable_Events,Optimized_Events,Original_Cost,Optimized_Cost,Total_Savings,Savings_Percentage,Optimization_Time_Seconds,Cost_Calculation_Time_Seconds,Total_Processing_Time_Seconds
house1,Economy_7,0,0,0,0.0,0.0,0.0,0,0.86,2.73,3.59
house2,Economy_7,0,0,0,0.0,0.0,0.0,0,0.54,1.27,1.81
house3,Economy_7,0,0,0,0.0,0.0,0.0,0,0.6,2.33,2.93
house4,Economy_7,0,0,0,0.0,0.0,0.0,0,0.67,2.44,3.11
house5,Economy_7,0,0,0,0.0,0.0,0.0,0,1.09,1.41,2.51
house6,Economy_7,0,0,0,0.0,0.0,0.0,0,15.66,1.95,17.61
house7,Economy_7,0,0,0,0.0,0.0,0.0,0,0.62,1.57,2.19
house8,Economy_7,0,0,0,0.0,0.0,0.0,0,0.59,2.28,2.87
house9,Economy_7,0,0,0,0.0,0.0,0.0,0,0.57,1.56,2.13
house10,Economy_7,0,0,0,0.0,0.0,0.0,0,0.68,2.27,2.95
house11,Economy_7,0,0,0,0.0,0.0,0.0,0,0.43,1.21,1.64
house13,Economy_7,0,0,0,0.0,0.0,0.0,0,1.03,0.75,1.78
house15,Economy_7,0,0,0,0.0,0.0,0.0,0,0.55,1.37,1.92
house16,Economy_7,0,0,0,0.0,0.0,0.0,0,0.5,1.55,2.05
house17,Economy_7,0,0,0,0.0,0.0,0.0,0,0.53,4.08,4.61
house18,Economy_7,0,0,0,0.0,0.0,0.0,0,0.49,2.28,2.77
house19,Economy_7,0,0,0,0.0,0.0,0.0,0,0.46,1.24,1.7
house20,Economy_7,0,0,0,0.0,0.0,0.0,0,0.56,2.81,3.37
house21,Economy_7,0,0,0,0.0,0.0,0.0,0,0.5,0.92,1.42
house1,Economy_10,0,0,0,0.0,0.0,0.0,0,0.62,2.67,3.3
house2,Economy_10,0,0,0,0.0,0.0,0.0,0,0.53,1.24,1.77
house3,Economy_10,0,0,0,0.0,0.0,0.0,0,0.6,2.31,2.92
house4,Economy_10,0,0,0,0.0,0.0,0.0,0,0.66,2.44,3.11
house5,Economy_10,0,0,0,0.0,0.0,0.0,0,1.07,1.41,2.49
house6,Economy_10,0,0,0,0.0,0.0,0.0,0,15.86,2.03,17.9
house7,Economy_10,0,0,0,0.0,0.0,0.0,0,0.64,1.55,2.19
house8,Economy_10,0,0,0,0.0,0.0,0.0,0,0.6,2.01,2.61
house9,Economy_10,0,0,0,0.0,0.0,0.0,0,0.56,1.57,2.13
house10,Economy_10,0,0,0,0.0,0.0,0.0,0,0.62,1.95,2.58
house11,Economy_10,0,0,0,0.0,0.0,0.0,0,0.43,1.01,1.44
house13,Economy_10,0,0,0,0.0,0.0,0.0,0,1.01,0.75,1.75
house15,Economy_10,0,0,0,0.0,0.0,0.0,0,0.54,1.16,1.71
house16,Economy_10,0,0,0,0.0,0.0,0.0,0,0.51,1.43,1.94
house17,Economy_10,0,0,0,0.0,0.0,0.0,0,0.52,3.96,4.49
house18,Economy_10,0,0,0,0.0,0.0,0.0,0,0.49,2.22,2.71
house19,Economy_10,0,0,0,0.0,0.0,0.0,0,0.48,1.23,1.71
house20,Economy_10,0,0,0,0.0,0.0,0.0,0,0.55,2.98,3.53
house21,Economy_10,0,0,0,0.0,0.0,0.0,0,0.51,0.98,1.49
