house_id,original_economy_7,optimized_economy_7,original_economy_10,optimized_economy_10,saving,saving_rate
house1,462.08193607112645,442.1483753670204,443.33317147417654,427.19515178783047,36.071580390452255,3.98398260530984
house2,451.28661655392216,382.2378565509464,400.53470067337895,332.80217024091064,136.78129043544402,16.0575096759342
house3,938.6930353542222,816.7432120762714,829.3538496058325,729.772213985363,221.53145889842017,12.529727621076361
house4,602.6577744304489,582.1259108528301,566.3745313265465,543.868448914755,43.03794598941022,3.6815018522128367
house5,1022.4909173721355,974.018021529073,933.5825521387536,883.4159441804791,98.63950380133701,5.042730006762045
house6,611.5062832675219,589.911685496556,528.8804174359352,508.82532925528665,41.6496859516144,3.6522423425249038
house7,754.0746017273445,639.871736127748,678.3897514094882,558.6519852040767,233.94063180500825,16.331340552574407
house8,393.02140024417616,387.77409584653907,395.59989828950165,371.16765571219355,29.679546974945197,3.763472661736353
house9,673.0642939689085,584.2394187717691,625.5868128675269,530.955786606625,183.45590145804113,14.126650375322658
house10,1059.9229476243645,984.7955743033256,973.2042224370183,908.9098604232968,139.42173533476057,6.857501950089587
house11,146.09834903112625,141.26783748441113,137.50620258474228,133.65176468611517,8.684949445342227,3.0623448727669422
house13,619.0775865265167,568.1400612197144,570.1007580632986,519.0108181589292,102.02746521117183,8.5796605425374
house15,274.8750370109275,243.88916604579867,240.00761259509193,215.65641892448807,55.337064635732645,10.747510074009242
house16,585.6034645671936,531.2146783059974,536.5559428161666,490.5692329515496,100.37549612581324,8.944851815649594
house17,451.9817020109286,436.3982284920447,415.7541088748246,403.9661526813376,27.371429712370855,3.1543505948465
house18,611.0907860806707,581.8884660567431,564.1573578373275,542.089015230143,51.270662631112145,4.362539340856811
house19,232.45326364627223,227.86793027707913,219.5235619101069,216.27514381652708,7.833751462772966,1.7332197183184546
house20,467.2087542772111,422.3690656542246,433.2882845277219,394.89239357223806,83.23557957847038,9.243292980611455
house21,424.445413383424,393.0413517690627,389.0039790602935,360.9620540844603,59.44598659019448,7.307889973537296
